country_ch,country_en,cases,deaths
美國,United States,96525344,1089942
印度,India,44645768,528981
法國,France,36707566,156700
德國,Germany,35383015,152997
巴西,Brazil,34807075,687907
韓國,South Korea,25396155,29043
英國,United Kingdom,23855522,192682
義大利,Italy,23443429,178846
日本,Japan,22106126,46414
俄羅斯,Russia,21394360,389790
土耳其,Turkey,16919638,101203
西班牙,Spain,13488015,114858
越南,Vietnam,11498873,43162
澳洲,Australia,10346805,15586
阿根廷,Argentina,9717546,129979
荷蘭,Netherlands,8505321,22784
伊朗,Iran,7557024,144559
臺灣,Taiwan,7555884,12479
墨西哥,Mexico,7107926,330339
印尼,Indonesia,6478720,158499
波蘭,Poland,6337557,118073
哥倫比亞,Colombia,6309168,141827
葡萄牙,Portugal,5518155,25209
奧地利,Austria,5416866,20980
烏克蘭,Ukraine,5296254,110008
希臘,Greece,5135200,33574
馬來西亞,Malaysia,4887675,36458
智利,Chile,4728938,61584
泰國,Thailand,4689897,32922
以色列,Israel,4680394,11758
比利時,Belgium,4607296,32883
加拿大,Canada,4314718,46025
瑞士,Switzerland,4232017,13723
捷克,Czech Republic,4164348,41549
秘魯,Peru,4152804,216877
南非,South Africa,4026786,102257
菲律賓,Philippines,3997941,63883
羅馬尼亞,Romania,3284916,67169
丹麥,Denmark,3181161,7354
瑞典,Sweden,2608289,20562
伊拉克,Iraq,2461247,25358
塞爾維亞,Serbia,2400037,17209
匈牙利,Hungary,2141513,47938
新加坡,Singapore,2080341,1668
孟加拉,Bangladesh,2034729,29416
香港,Hong Kong,1891631,10350
斯洛伐克,Slovakia,1851796,20579
紐西蘭,New Zealand,1811552,2095
喬治亞,Georgia,1780691,16900
約旦,Jordan,1746997,14122
愛爾蘭,Ireland,1670377,7972
巴基斯坦,Pakistan,1573807,30625
挪威,Norway,1464381,4208
哈薩克,Kazakhstan,1394563,13692
芬蘭,Finland,1335318,6407
保加利亞,Bulgaria,1276765,37853
立陶宛,Lithuania,1266559,9387
摩洛哥,Morocco,1265477,16281
克羅埃西亞,Croatia,1245552,17109
斯洛維尼亞,Slovenia,1229711,6876
黎巴嫩,Lebanon,1218268,10702
突尼西亞,Tunisia,1146152,29257
瓜地馬拉,Guatemala,1138242,19878
哥斯大黎加,Costa Rica,1133096,8990
古巴,Cuba,1111277,8530
玻利維亞,Bolivia,1109309,22239
阿拉伯聯合大公國,UAE,1036047,2348
厄瓜多,Ecuador,1007553,35908
尼泊爾,Nepal,1000523,12019
白俄羅斯,Belarus,994037,7118
烏拉圭,Uruguay,989629,7515
巴拿馬,Panama,989608,8506
拉脫維亞,Latvia,949986,6045
亞塞拜然,Azerbaijan,823064,9941
沙烏地阿拉伯,Saudi Arabia,821246,9400
巴拉圭,Paraguay,717628,19598
巴勒斯坦,Palestine,703036,5708
巴林,Bahrain,688646,1524
斯里蘭卡,Sri Lanka,671030,16776
科威特,Kuwait,661787,2566
多明尼加,Dominican,647205,4384
緬甸,Myanmar,630902,19478
愛沙尼亞,Estonia,606498,2739
賽普勒斯,Cyprus,596297,1191
摩爾多瓦,Moldova,593246,11887
委內瑞拉,Venezuela,545665,5820
蒙古,Mongolia,534584,2131
埃及,Egypt,515645,24613
利比亞,Libya,507034,6437
衣索比亞,Ethiopia,493905,7572
卡達,Qatar,467092,684
宏都拉斯,Honduras,456988,11037
亞美尼亞,Armenia,445100,8706
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,399811,16169
阿曼,Oman,398775,4260
北馬其頓,North Macedonia,343964,9561
肯亞,Kenya,338908,5678
尚比亞,Zambia,333644,4017
阿爾巴尼亞,Albania,332847,3592
波札那,Botswana,326344,2790
盧森堡,Luxembourg,297757,1133
蒙特內哥羅,Montenegro,282472,2785
科索沃,Kosovo,272152,3202
阿爾及利亞,Algeria,270810,6881
奈及利亞,Nigeria,266043,3155
模里西斯,Mauritius,264465,1032
中國大陸,China,258403,5226
辛巴威,Zimbabwe,257893,5606
烏茲別克,Uzbekistan,244523,1637
汶萊,Brunei,237656,244
莫三比克,Mozambique,230431,2224
寮國,Laos,216205,758
吉爾吉斯,Kyrgyzstan,206399,2991
冰島,Iceland,206356,213
阿富汗,Afghanistan,202509,7820
薩爾瓦多,El Salvador,201785,4230
馬爾地夫,Maldives,185280,308
千里達及托巴哥,Trinidad and Tobago,184713,4249
迦納,Ghana,170573,1460
納米比亞,Namibia,169908,4080
烏干達,Uganda,169396,3628
牙買加,Jamaica,151931,3320
柬埔寨,Cambodia,137979,3056
盧安達,Rwanda,132556,1467
喀麥隆,Cameroon,121652,1935
馬爾他,Malta,115271,808
安哥拉,Angola,103131,1917
巴貝多,Barbados,103014,560
剛果民主共和國,DR Congo,93027,1445
塞內加爾,Senegal,88679,1968
馬拉威,Malawi,88073,2683
象牙海岸,Ivory Coast,87720,827
蘇利南,Suriname,81185,1390
史瓦帝尼,Eswatini,73526,1422
蓋亞那,Guyana,71431,1281
貝里斯,Belize,68943,687
斐濟,Fiji,68257,878
馬達加斯加,Madagascar,66706,1411
蘇丹,Sudan,63473,4972
茅利塔尼亞,Mauritania,63321,997
維德角,Cape Verde,62397,410
不丹,Bhutan,62331,21
敘利亞,Syria,57354,3163
蒲隆地,Burundi,50470,38
塞席爾,Seychelles,49035,171
加彭,Gabon,48914,306
安道爾,Andorra,46535,155
巴布亞紐幾內亞,Papua New Guinea,45393,668
坦尚尼亞,Tanzania,39804,845
多哥,Togo,39293,290
幾內亞,Guinea,38047,456
巴哈馬,Bahamas,37364,833
賴索托,Lesotho,34490,706
